Player	Team	PS	GP	Min	FGM	FGA	3M	3A	FTM	FTA	OR	TR	AS	ST	TO	BK	PF	DQ	PTS	TC	EJ	FF	Sta
"nunnally,james"	atl	SF	4	54	6	18	3	10	3	4	1	8	2	1	4	1	2	0	18	0	0	0	0
"nunnally,james"	phi	SF	9	113	9	28	5	15	3	5	0	11	6	5	3	1	9	0	26	0	0	0	0
"nunnally,james"	tot	SF	13	167	15	46	8	25	6	9	1	19	8	6	7	2	11	0	44	0	0	0	0
"o'neal,jermaine"	gsw	C	44	882	125	248	0	0	99	132	85	242	25	14	52	41	102	0	349	9	0	0	13
"o'quinn,kyle"	orl	PF	69	1186	186	371	0	3	57	83	100	364	78	39	78	88	165	1	429	1	0	0	19
"oden,greg"	mia	C	23	212	27	49	0	0	13	23	23	54	1	7	12	13	52	0	67	0	0	0	6
"oladipo,victor"	orl	SG	80	2486	392	936	74	226	248	318	43	329	327	129	256	37	210	0	1106	2	0	0	44
"olynyk,kelly"	bos	PF	70	1396	234	501	40	113	99	122	140	365	109	35	106	27	227	4	607	0	0	0	9
"onuaku,arinze"	cle	PF	2	5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"onuaku,arinze"	nor	PF	3	26	1	4	0	0	1	2	2	7	3	0	1	0	3	0	3	0	0	0	0
"onuaku,arinze"	tot	PF	5	31	1	5	0	0	1	2	2	8	3	0	1	0	3	0	3	0	0	0	0
"orton,daniel"	phi	C	22	253	21	47	0	0	23	30	16	61	15	6	18	16	38	0	65	2	0	0	4
"outlaw,travis"	sac	SF	63	1068	130	326	41	117	42	52	36	168	48	20	26	19	94	0	343	0	0	0	4
"pachulia,zaza"	mil	C	53	1322	149	349	0	1	110	130	141	333	136	45	92	14	124	0	408	4	0	0	43
"pargo,jannero"	cha	PG	29	244	52	118	24	60	8	11	1	20	52	14	26	1	17	0	136	0	0	0	0
"parker,tony"	san	PG	68	2002	456	914	25	67	197	243	17	154	390	36	151	9	86	0	1134	1	0	0	68
"parsons,chandler"	hou	SF	74	2785	466	987	130	351	164	221	69	409	298	88	144	29	168	1	1226	0	0	0	74
"patterson,patric"	sac	PF	17	417	50	122	9	39	9	16	34	99	15	13	16	3	39	0	118	0	0	0	6
"patterson,patric"	tor	PF	48	1119	175	367	46	112	41	55	83	243	63	42	49	34	120	2	437	2	0	0	7
"patterson,patric"	tot	PF	65	1536	225	489	55	151	50	71	117	342	78	55	65	37	159	2	555	2	0	0	13
"paul,chris"	lac	PG	62	2168	406	870	78	212	295	345	38	268	663	154	145	4	157	1	1185	10	0	0	62
"pekovic,nikola"	min	C	54	1665	379	701	0	0	186	249	206	468	49	30	84	23	129	0	944	2	0	0	54
"perkins,kendrick"	okl	C	62	1206	87	194	0	2	37	67	82	305	67	26	91	32	177	0	211	10	0	0	62
"pierce,paul"	bro	SF	75	2101	321	712	112	300	256	310	26	348	178	86	153	31	190	0	1010	6	0	0	68
"pittman,dexter"	atl	C	2	3	0	1	0	0	0	2	3	3	0	0	0	0	0	0	0	0	0	0	0
"plumlee,mason"	bro	PF	70	1275	199	302	0	3	122	195	99	308	60	49	77	55	171	3	520	0	0	0	22
"plumlee,miles"	pho	PF	80	1963	286	553	0	0	74	132	198	626	43	50	111	90	185	2	646	0	0	0	79
"pondexter,quincy"	mem	SF	15	270	31	79	11	34	21	26	10	26	21	5	15	1	18	0	94	1	0	0	2
"porter,otto"	was	SF	37	322	33	91	4	21	8	12	21	57	10	8	14	1	26	0	78	0	0	0	0
"powell,josh"	hou	PF	1	19	2	6	0	0	0	0	0	5	0	0	1	1	1	0	4	0	0	0	0
"pressey,phil"	bos	PG	75	1129	78	253	28	106	29	45	20	105	240	68	87	5	97	1	213	0	0	0	11
"price,a.j."	min	PG	28	101	19	46	6	22	0	2	1	10	13	1	7	0	5	0	44	0	0	0	0
"price,ronnie"	orl	PG	32	380	28	92	9	43	9	13	8	43	66	25	26	2	50	0	74	0	0	0	2
"prigioni,pablo"	nyk	PG	66	1284	88	191	65	140	11	12	36	129	228	67	60	2	132	0	252	2	0	0	27
"prince,tayshaun"	mem	SF	76	1949	200	492	20	69	34	60	32	234	119	39	41	19	63	0	454	0	0	0	76
"raduljica,mirosl"	mil	C	48	463	68	126	0	0	45	55	54	108	23	7	28	13	84	0	181	0	0	0	2
"randolph,anthony"	den	PF	43	527	68	175	18	61	52	69	19	121	32	26	39	19	64	0	206	1	0	0	5
"randolph,shavlik"	pho	PF	14	96	7	14	0	0	6	11	7	25	1	3	5	1	15	0	20	0	0	0	0
"randolph,zach"	mem	PF	79	2709	560	1198	2	20	250	337	265	794	199	54	183	23	210	0	1372	4	0	0	79
"redick,j.j."	lac	SG	35	988	181	398	73	185	97	106	9	74	80	28	42	3	65	0	532	2	0	0	34
"rice,glen"	was	SG	11	111	11	37	5	17	5	7	4	20	7	6	9	1	7	0	32	0	0	0	1
"ridnour,luke"	cha	PG	25	376	42	108	12	40	4	7	8	35	54	9	20	6	37	0	100	0	0	0	2
"ridnour,luke"	mil	PG	36	762	84	219	25	68	13	19	15	62	123	23	46	2	55	0	206	1	0	0	12
"ridnour,luke"	tot	PG	61	1138	126	327	37	108	17	26	23	97	177	32	66	8	92	0	306	1	0	0	14
"rivers,austin"	nor	SG	69	1340	192	474	36	99	110	173	26	129	160	45	77	9	134	0	530	3	0	0	4
"roberson,andre"	okl	SG	40	398	33	68	2	13	7	10	36	94	15	19	19	10	74	2	75	0	0	0	16
"roberts,brian"	nor	PG	72	1671	244	580	64	178	125	133	17	136	235	43	95	7	132	2	677	1	0	0	42
